sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_LN,sigma_LN,alpha,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
30001,1.51192453921574,0,0.0339702541634636,0,0.0484299759498464,0,12,1.21073898081442,1.18446958819277,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.09033952417095,0.0797497353436076,990.674107754603,1.1650456781346,0.0775283606190885,-37766.0236476479,-35546.1820491612,-2219.84159848672
31001,1.49711625989392,0,0.035250292406255,0,0.0479959618587815,0,12,1.20625204991249,1.03789222546847,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.09074747392244,0.0798846642722368,470.293512148783,1.23726572408237,0.0730826178640867,-37686.0592637741,-35465.8805114892,-2220.17875228491
32001,1.31299070480282,0,0.0252641352551853,0,0.0479010480182081,0,12,1.21294647127207,0.811880841691143,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.06261907000854,0.0694313661824049,69.7964288992807,2.03681028730379,0.063014091269716,-37716.2233727679,-35353.6150947277,-2362.60827804023
33001,1.48481021919229,0,0.032848860665834,0,0.0479632756098768,0,12,1.2127694143448,0.805764974180907,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08873993183205,0.0795112956127144,710.103917587548,1.19909971454746,0.0788658807072206,-37743.2627538237,-35521.0204103978,-2222.24234342597
34001,1.71339293805435,0,0.0338535492133672,0,0.0468770803336234,0,12,1.23444006203705,0.761005286688703,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.56247696566481,0.45209290554829,676.706261234358,0.686232657464368,0.00488070523270769,-37757.4683105874,-35835.3116325821,-1922.15667800527
35001,1.58347891754751,0,0.028415416592072,0,0.0421638911158636,0,12,1.23870182773738,0.903417708345064,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.38972758067859,0.301412177027458,838.93770959694,0.760059422327207,0.00200656864539113,-37771.0931043746,-35851.9313635946,-1919.16174077995
36001,1.50497188543286,0,0.0330944573742864,0,0.0463088997565228,0,12,1.22004839751783,1.06119592356257,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.09264720234293,0.0844624794935393,786.981284897775,1.22105904756989,0.0735677948899036,-37726.7330176723,-35569.9620488914,-2156.77096878089
37001,1.31544812776636,0,0.0235621993128882,0,0.0467904602643832,0,12,1.21253032809914,0.981211617187338,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.09246460061936,0.083214525635864,944.732878240757,2.11156698211913,0.0628205597514014,-37689.4471533034,-35363.7760796546,-2325.6710736488
38001,1.45149656757002,0,0.0292223770441101,0,0.0440028362306341,0,12,1.21725342105081,0.826649982422214,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.97318663183223,0.0918179693797372,924.868828384206,0.6439929466388,0.000723592623782562,-37674.3816862641,-35608.8974415634,-2065.48424470068
39001,1.32358254668279,0,0.024077126240205,0,0.0464395967639462,0,12,1.21367537727908,0.778559431380174,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.04824430183922,0.0795190525678557,7.06854730378836,2.07401555463071,0.0559204467856082,-37691.8923345,-35398.989162336,-2292.903172164
40001,1.50489661141176,0,0.0326774974768937,0,0.0463972527268131,0,12,1.20504621695298,1.06313365278309,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0747319591127,0.0839901481672722,721.813703142106,1.216522347703,0.0692325323721806,-37714.5290443335,-35516.9893323716,-2197.53971196191
41001,1.41248252240448,0,0.0267146436116972,0,0.0437607168943942,0,12,1.22614967730451,0.987965353766631,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.22132111727815,0.0918179693797372,716.257787542418,0.728893898687554,0.00239584153490013,-37659.8518038872,-35584.1571345739,-2075.6946693133
42001,1.40995531476832,0,0.0273324648304703,0,0.0441849049300724,0,12,1.221304618009,1.00456565387151,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.22132111727815,0.0918179693797372,271.865608403459,0.595208920246544,0.0036465531262286,-37651.2119130816,-35557.7519738149,-2093.4599392667
43001,1.42485436403954,0,0.0267579980865415,0,0.0447950257215516,0,12,1.21488809672353,1.13273830336345,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.22132111727815,0.0918179693797372,840.577279916033,0.693179406130923,3.47331732307889e-05,-37656.9420292809,-35537.5452039967,-2119.39682528428
44001,1.52516614454037,0,0.0364742807632528,0,0.0466712243808615,0,12,1.21702072168664,1.0195607647614,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.12670738439603,0.0812814866446036,271.772458031774,1.25150728314448,0.0648860324848812,-37695.9007285467,-35494.0737412454,-2201.8269873013
45001,1.5101457616992,0,0.03304474591155,0,0.0467746176090672,0,12,1.21173052714516,0.86764735252162,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.12312638196248,0.0844065837912357,811.859601456672,1.25504082620305,0.0766573447892145,-37674.89801944,-35493.1335970274,-2181.7644224126
46001,1.48065458578471,0,0.0352995214580259,0,0.0423954643285659,0,12,1.2200512416208,1.03954256252917,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0510576054132,0.14598462097084,704.791208170355,0.762497481018655,0.0234127644314087,-37655.4740174947,-35599.2842617224,-2056.18975577224
47001,1.49142482459288,0,0.0350795046735648,0,0.042545089727228,0,12,1.21543981245827,0.894019643447368,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0510576054132,0.14598462097084,229.959911527112,0.754363752078922,0.0286204212977861,-37650.0836346503,-35588.9614333655,-2061.12220128478
48001,1.47260288593441,0,0.0330593763199742,0,0.0422664779023805,0,12,1.22864815254983,1.0990392168081,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0510576054132,0.14598462097084,700.561679294333,0.754610429733497,0.026976575411712,-37675.0991137523,-35620.9780234897,-2054.12109026259
49001,1.52254634388291,0,0.026155433504008,0,0.0455116675103127,0,12,1.21451486004236,0.889512866135597,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.17299581194659,0.191137344595865,519.398312782869,0.757983811712586,0.000213996778598313,-37644.5885511793,-35605.3650151032,-2039.2235360761
50001,1.444526822331,0,0.0307182927357489,0,0.0436212071794865,0,12,1.21550669526831,0.853921169020236,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0510576054132,0.110489928250049,908.99164751172,0.668120119027915,0.0357304630514873,-37657.6582357387,-35579.0292246256,-2078.62901111317
51001,1.46034361249886,0,0.031028176925005,0,0.043799240306807,0,12,1.22135889231017,0.815775404587697,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0510576054132,0.100315719860022,998.0632731691,0.676965893088107,0.0486096907748804,-37664.784809084,-35573.5994374163,-2091.18537166775
52001,1.44952945477961,0,0.0305939285819002,0,0.0437936286230205,0,12,1.21010891310132,0.887664196478578,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0510576054132,0.100315719860022,624.906825926155,0.618748621036051,0.0476827960469708,-37638.104075165,-35563.5264477934,-2074.57762737163
53001,1.4532459463243,0,0.0308792674863493,0,0.0439983637831468,0,12,1.22412284089304,0.840397327313554,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0510576054132,0.100315719860022,223.268712032586,0.625038750931257,0.0463410574845896,-37630.1185840417,-35545.7205683112,-2084.39801573055
54001,1.45063721097571,0,0.0326008551646566,0,0.0433422925356821,0,12,1.22322011359782,1.07932004084959,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0510576054132,0.100315719860022,74.5773663278668,0.640395525275917,0.0523897676044794,-37627.4890969048,-35544.8154142762,-2082.67368262854
55001,1.40462067960623,0,0.028507772103341,0,0.0443562299042218,0,12,1.21469955659258,0.928712418064869,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.09075476497356,0.104225311379642,780.24076751899,2.12646109130267,0.0487077123907864,-37690.2088367374,-35563.3903502872,-2126.81848645025
56001,1.38154154514811,0,0.0260355481369396,0,0.0440785354232732,0,12,1.21555348115824,0.857456064380173,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.01240609228234,0.0850673397311351,150.865039555356,0.712651248828478,0.0299404926034652,-37636.004754881,-35520.6475077958,-2115.35724708528
57001,1.47338163492478,0,0.0363862005043015,0,0.0427110000634346,0,12,1.21253330484939,0.770581566433338,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.07687683679309,0.17206645694618,343.866182141937,0.61901065000428,0.0109722391492239,-37659.4464335368,-35617.6999417962,-2041.74649174065
58001,1.47860981931278,0,0.0263851124182499,0,0.0448315675189244,0,12,1.21901491216148,0.83118906121872,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.14387529203327,0.130897997871681,244.750348851085,0.784103476516399,0.029297099405797,-37654.8707877958,-35598.8267903798,-2056.04399741601
59001,1.65129638666848,0,0.0390341611150666,0,0.0439062498096013,0,12,1.23016430150298,0.665368807158573,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.18483195732358,0.176487846643091,299.518661317415,0.873699913625044,0.00319676449297953,-37568.760995684,-35667.5547634931,-1901.20623219086
60001,1.34338116169072,0,0.0234011921240256,0,0.0435608473664223,0,12,1.20726017313273,0.897035287372292,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.18300989746053,0.0850673397311351,971.193342469632,0.599368960720706,0.0258632582498061,-37613.1230147653,-35531.2416845972,-2081.88133016801
61001,1.37131753170711,0,0.0257107239581985,0,0.044327413745297,0,12,1.22151112145545,0.815411193403221,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.18300989746053,0.0850673397311351,876.89467263408,0.638698746804881,0.0268361963497991,-37596.4331538543,-35468.4693602677,-2127.96379358651
62001,1.56313213393162,0,0.0319236048568415,0,0.0460499241612961,0,12,1.22635974329309,0.844249582386392,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.18483195732358,0.120585371480955,826.300526526757,0.655027851230911,0.00733802430299216,-37589.1412245115,-35578.1933817437,-2010.94784276774
63001,1.52601823417821,0,0.0340640414141344,0,0.0456878822995081,0,12,1.21971305470173,1.15461880523365,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.07075918513502,0.104225311379642,542.104506050237,2.11120683950503,0.0288974415331623,-37629.4396265482,-35473.080340471,-2156.35928607723
64001,1.55656198322842,0,0.0299219555674715,0,0.0460284920291574,0,12,1.21565943859775,0.919272212134796,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.18483195732358,0.11894400818219,447.174037829973,0.798670923565347,0.0176525654648183,-37624.6323460797,-35562.4104440822,-2062.22190199743
65001,1.5534563843151,0,0.0347660337733861,0,0.0453090071022867,0,12,1.2074800957911,0.74113530873472,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08362546434852,0.104225311379642,830.251369043253,2.26555820667305,0.0293536484470701,-37665.1112411981,-35524.3938038755,-2140.71743732265
66001,1.5542638202897,0,0.0364069730690948,0,0.0452938963405894,0,12,1.20981096410206,0.774125086765645,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08175999245775,0.104225311379642,835.151148843579,2.1462130851393,0.0405148847470973,-37647.806737464,-35510.493030692,-2137.31370677195
67001,1.51717887179438,0,0.0300191170112963,0,0.0460754068512778,0,12,1.21474338188595,0.794181053881645,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.13790760707956,0.123288601369892,976.53305248823,0.819405513782741,0.0299873824364297,-37637.6863298735,-35557.9077356185,-2079.77859425508
68001,1.50228782524895,0,0.0314970210559429,0,0.0446484266485208,0,12,1.21775544282062,1.1609558816479,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.13790760707956,0.123288601369892,740.93012206722,0.787678062766807,0.0352750582695524,-37607.1779598704,-35557.9215930418,-2049.25636682854
69001,1.51082372216419,0,0.0308378080392394,0,0.045321634686931,0,12,1.21023824372012,0.834585806513691,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.13790760707956,0.123288601369892,150.224420032464,0.802931309558233,0.0401768924517134,-37635.1288211588,-35560.5777394016,-2074.55108175721
70001,1.42430741370581,0,0.0280430414064575,0,0.045629368290118,0,12,1.20818716478534,0.98269185624496,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.10698186148621,0.107929955664347,5.08255213499086,1.21119037154934,0.0526703586165894,-37678.6732089038,-35520.9130742255,-2157.76013467835
71001,1.43521993817647,0,0.0296298384748008,0,0.0455300626095344,0,12,1.20906552976633,0.925591353800469,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.10698186148621,0.100547539601701,633.141498966142,1.23522804653483,0.0580548377222071,-37624.7211444738,-35479.5255748053,-2145.19556966848
72001,1.39789196528672,0,0.0243443837448287,0,0.0435593337345336,0,12,1.2126809292643,0.884007534400856,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.11743739038305,0.106909335387223,278.062350582331,0.795628591105485,0.0540477844570482,-37636.0817304993,-35567.145596051,-2068.93613444837
73001,1.54361679014667,0,0.0334353148905037,0,0.0464579502283322,0,12,1.20974970742815,0.976824814966592,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.09635649163912,0.104897789467537,365.702713257633,2.13278313236951,0.0316326495381771,-37667.6821317595,-35539.2834034703,-2128.39872828922
74001,1.43062133218173,0,0.0333209330756926,0,0.0437591093223733,0,12,1.22595148104488,0.762054168930972,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.10626136926376,0.104965057254859,839.130408549681,1.31112759886706,0.0482727238208977,-37629.7379392938,-35552.8863431392,-2076.8515961546
75001,1.45189142089029,0,0.0300851781022072,0,0.044137445767526,0,12,1.21562627303068,1.06121142654077,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.05958160656859,0.0741404600255937,428.507740283385,0.803214086695692,0.069288699761922,-37663.6770744411,-35554.6779494708,-2108.99912497023
76001,1.48621087430887,0,0.031617805045456,0,0.0437548055466869,0,12,1.21645935899414,1.0308706718463,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.12886414656954,0.0815871519755728,417.497164476663,0.892149512270465,0.0675746000786673,-37572.2520137229,-35522.2994909098,-2049.95252281311
77001,1.37416985331321,0,0.0232239970698293,0,0.0436353172569216,0,12,1.2191540863698,0.988143989967737,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.10555771342027,0.0917056892314627,65.3526762034744,0.74340319552896,0.0614420812046366,-37606.1962643687,-35509.8887107498,-2096.30755361888
78001,1.37062152880903,0,0.0251780303221253,0,0.0435591698389162,0,12,1.22185053851809,1.13693795832006,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08501017469564,0.0790966963641223,691.643798490986,0.761037903806336,0.0764930451288367,-37650.6590863487,-35515.2811847703,-2135.37790157843
79001,1.45320933107356,0,0.0312289338854014,0,0.0455285153398222,0,12,1.22448703308313,1.12361294222952,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.1102496130078,0.0760782507046903,968.721770634875,1.28356016860429,0.0806721179227731,-37606.7375228207,-35442.346761197,-2164.39076162369
80001,1.51932934897958,0,0.0343721272686009,0,0.0443968189604218,0,12,1.21347049645821,0.896819877384679,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08161664370625,0.0852744931496817,649.09241036512,0.766618151866437,0.0664699161424703,-37551.6205603029,-35469.3620151492,-2082.25854515364
81001,1.38048966593553,0,0.0264399922343888,0,0.0423748901298885,0,12,1.22738027580319,0.850393080764557,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.16649503220452,0.159632250358715,580.959082464688,0.691770389147515,0.000300214635892239,-37677.9413473601,-35649.3022975936,-2028.63904976649
82001,1.38378474170445,0,0.0262103313875941,0,0.0420894553078913,0,12,1.22690987914341,0.843462750564146,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.16649503220452,0.159632250358715,127.484300057404,0.720235246533166,0.00223206443366473,-37608.3072806332,-35600.4348662893,-2007.87241434393
83001,1.49257780368463,0,0.0332547954168714,0,0.0443872717565414,0,12,1.20708853178837,1.09651554942531,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0838709158531,0.0777020258661275,581.259581586346,0.730410728163242,0.069430189652341,-37609.3840526567,-35515.1796624171,-2094.2043902396
84001,1.40054150403277,0,0.0231715694873599,0,0.0440378607568657,0,12,1.22556916053547,1.02746913638279,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.09951789902413,0.112056518153147,476.091704820283,0.6895583791062,0.048824163576559,-37646.0041568351,-35586.8317597074,-2059.17239712768
85001,1.47998513707082,0,0.0337751939334065,0,0.0434288703414071,0,12,1.22141489094922,0.883250794308165,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.0759024146876,0.0786539840233467,815.590931009501,0.776109726328781,0.0757599826735173,-37641.9406357394,-35554.9178729119,-2087.0227628275
86001,1.47071611242878,0,0.0263442132808472,0,0.0436351074742651,0,12,1.22860400827847,1.13395434839425,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.00249112801713,0.0818137555073408,826.084296661429,0.869768248313658,0.00932879682576027,-37669.518513382,-35655.8024377849,-2013.71607559711
87001,1.51988945786875,0,0.0352637320364992,0,0.0449914563098776,0,12,1.21729131201166,1.15867711764265,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.13291180586357,0.0608896732718632,362.059859186411,0.763313789424314,0.0816559823240234,-37588.4880868858,-35485.7652226743,-2102.72286421153
