sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_LN,sigma_LN,alpha_LN,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.32466192170978,0,0.0722765064472333,0,0.176124525954947,0,12,1.39302280265838,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,8.4635753184557,2.46568141644821,229.848128370941,0.676975331734866,0,-144712.657682797,-143782.590061239,-930.067621557937
101,2.16167882010341,0,0.0574501188145951,0,0.0473257593810558,0,12,2.89872673340142,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,7.87085034884512,3.92173334863037,220.000202069059,0.125610112154391,0,-52476.5328014682,-51343.1303343667,-1133.40246710153
201,1.80946167185903,0,0.127628965107724,0,0.0183038146933541,0,12,1.82657981931698,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,7.87085034884512,3.88531954633072,159.667033702135,0.18246097648982,0,-46090.0712762984,-44907.5166165886,-1182.55465970971
301,1.81092866342515,0,0.136669439044781,0,0.0150523527758196,0,12,1.82657981931698,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,7.87085034884512,3.88531954633072,126.838061609305,0.799168647872284,0,-43348.4424576673,-42085.6550532766,-1262.78740439074
401,1.90282930526882,0,0.161715013966896,0,0.0137041297508404,0,12,1.82657981931698,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,8.28955170698464,3.88531954633072,166.091460711323,1.70172887129942,0,-42016.6462900252,-40722.5553718534,-1294.0909181718
501,2.41766272597015,0,0.0913579197973013,0,0.0355525246355683,0,12,1.56919550092425,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,8.99104584008455,3.87399478023872,321.560620609671,1.32127969797235,0,-41143.618252192,-39719.0117372663,-1424.60651492573
601,1.90282930526882,0,0.147256427039392,0,0.0136209055781364,0,12,1.42528431781102,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,8.28955170698464,3.56653068121523,183.444047230296,2.55702263743384,0,-39944.2359783236,-38647.4232145418,-1296.81276378175
701,2.32516615055501,0,0.0449393315846101,0,0.0528230990050361,0,12,1.38271929579787,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.05504794185981,2.07298166677356,280.068646441214,0.17093163728714,0,-39618.469302071,-38254.3777584398,-1364.0915436312
801,2.32516615055501,0,0.0449393315846101,0,0.0528230990050361,0,12,1.38271929579787,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.05504794185981,2.01740191923454,333.479385031387,0.197559022416826,0,-38972.301359226,-37586.5198472861,-1385.78151193989
901,2.32954423483461,0,0.0402367396419868,0,0.0528230990050361,0,12,1.38271929579787,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.05504794185981,2.01740191923454,318.073548353277,0.233092394722626,0,-38579.3433873751,-37178.8132528944,-1400.53013448075
