sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_LN,sigma_LN,alpha_LN,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.68642006255686,0,0.0567711545410566,0,0.137726622493938,0,12,1.99323838646524,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.57739216601476,2.4500637371093,214.864569623023,1.9390347780427,0,-85900.8761421229,-85000.0078571173,-900.868285005513
101,2.56870343405753,0,0.043262154168915,0,0.0592060691211373,0,12,2.22874555923045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.77321373857558,249.414043780416,0.204453766522929,0,-48840.1941412426,-47763.7980901875,-1076.39605105508
201,2.39589865356684,0,0.0816927828383632,0,0.0547118171816692,0,12,2.22874555923045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.77321373857558,272.924528340809,0.178069313275628,0,-46525.2952606612,-45421.9217471731,-1103.37351348815
301,2.49238068088889,0,0.103752910534386,0,0.0414134648162872,0,12,1.71946988278069,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.22000517230481,2.16796806221828,368.503372510895,0.456574461783748,0,-43730.3257996473,-42562.4238889545,-1167.90191069282
401,2.49238068088889,0,0.107328959044535,0,0.0388819051906467,0,12,1.71946988278069,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.22000517230481,2.16796806221828,354.735078988597,0.456574461783748,0,-42384.519163252,-41215.0332226542,-1169.48594059786
501,2.49238068088889,0,0.107328959044535,0,0.0388819051906467,0,12,1.38011674699374,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.22000517230481,2.16796806221828,335.708718071692,0.382443979366217,0,-40995.4108272696,-39753.443650426,-1241.96717684364
601,2.52954419646412,0,0.0814582870830782,0,0.0460268291179091,0,12,1.61814533127472,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.76489088777453,207.658228534274,0.29243780705845,0,-40092.2295835604,-38790.7246664958,-1301.50491706461
701,2.52954419646412,0,0.0814582870830782,0,0.0460268291179091,0,12,1.4823089116253,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.76489088777453,194.650448975153,0.29243780705845,0,-38917.6087430422,-37589.0999453801,-1328.50879766209
801,2.52954419646412,0,0.0814582870830782,0,0.0460268291179091,0,12,1.30069345131051,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.70080216741189,222.974846628495,0.304477916159667,0,-37674.4341762586,-36314.0310212351,-1360.40315502354
901,2.52954419646412,0,0.0814582870830782,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.70080216741189,221.791163436137,0.308399913436733,0,-37360.6069084443,-35989.9663879465,-1370.64052049788
1001,2.53055785614997,0,0.0814582870830782,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.70080216741189,216.020988230593,0.304857023814693,0,-37113.3653777305,-35726.7650900233,-1386.60028770721
1101,2.53055785614997,0,0.0814582870830782,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.70080216741189,216.020988230593,0.329392242566682,0,-36974.0794452304,-35569.8238635225,-1404.25558170791
1201,2.51361089162529,0,0.0778477868088521,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.70080216741189,216.020988230593,0.332945094951428,0,-36845.7409906298,-35425.9158949427,-1419.82509568704
1301,2.4839429391548,0,0.0738742215349339,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.70080216741189,201.878398866393,0.332945094951428,0,-36658.3838736441,-35229.1804002696,-1429.2034733745
1401,2.4583946544677,0,0.0739352376689203,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.70080216741189,201.878398866393,0.332945094951428,0,-36512.8401481069,-35073.6482645217,-1439.19188358513
1501,2.50589532051235,0,0.0739352376689203,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.67365694325417,209.774585836567,0.332945094951428,0,-36326.0490255996,-34870.2916068503,-1455.75741874927
1601,2.50795083697885,0,0.0739352376689203,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.67365694325417,209.774585836567,0.354152132638264,0,-36258.709883167,-34809.987415256,-1448.72246791104
1701,2.50795083697885,0,0.0739352376689203,0,0.0460268291179091,0,12,1.23125253024045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.67365694325417,209.774585836567,0.324346004955005,0,-36235.3881989972,-34784.9158619921,-1450.47233700509
1801,2.48951302208006,0,0.0739352376689203,0,0.0460268291179091,0,12,1.16820363688748,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.67365694325417,207.536848029122,0.324346004955005,0,-36097.8733368741,-34643.8529197811,-1454.02041709297
1901,2.48951302208006,0,0.0693712692498229,0,0.0460268291179091,0,12,1.16820363688748,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.65118255279958,209.097838262096,0.324346004955005,0,-35985.4829550597,-34523.8374861281,-1461.64546893159
2001,2.48951302208006,0,0.0693712692498229,0,0.0460268291179091,0,12,1.16820363688748,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.14757773280144,1.65118255279958,209.097838262096,0.324346004955005,0,-35934.8826162457,-34475.5290093245,-1459.35360692114
2101,2.48951302208006,0,0.0693712692498229,0,0.0460268291179091,0,12,1.15154115611222,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.65118255279958,209.097838262096,0.314579290617257,0,-35901.0491524256,-34443.5306298225,-1457.51852260301
2201,2.48951302208006,0,0.0693712692498229,0,0.0460268291179091,0,12,1.15154115611222,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,209.097838262096,0.314579290617257,0,-35830.3828333961,-34376.1131469003,-1454.26968649582
2301,2.49624463096261,0,0.0693712692498229,0,0.0460268291179091,0,12,1.15154115611222,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,209.097838262096,0.267661944106221,0,-35774.1907092296,-34320.4915977541,-1453.69911147543
2401,2.47994710486382,0,0.0693712692498229,0,0.0460268291179091,0,12,1.15154115611222,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,210.012356331572,0.278697170892265,0,-35704.7296647701,-34255.8196768088,-1448.90998796134
2501,2.48143392242491,0,0.0693712692498229,0,0.0460268291179091,0,12,1.15154115611222,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,209.487783396617,0.278697170892265,0,-35664.0145067509,-34219.3724011614,-1444.64210558952
2601,2.48143392242491,0,0.0693712692498229,0,0.0460268291179091,0,12,1.15154115611222,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,209.487783396617,0.263811040674336,0,-35628.0871752685,-34183.5197229947,-1444.56745227387
2701,2.44886968713254,0,0.0693712692498229,0,0.0460268291179091,0,12,1.15154115611222,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,216.038509178907,0.263811040674336,0,-35585.8562631593,-34140.3452702863,-1445.51099287301
2801,2.44886968713254,0,0.0677221697079949,0,0.0460268291179091,0,12,1.15154115611222,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,216.038509178907,0.278068274529651,0,-35556.4529221206,-34109.6253703868,-1446.82755173384
2901,2.44886968713254,0,0.0681383871962316,0,0.0460268291179091,0,12,1.11703556915745,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,217.479076096788,0.278068274529651,0,-35512.3121331016,-34066.6089828521,-1445.70315024954
3001,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.11703556915745,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,221.729603782296,0.296331899943761,0,-35479.6702979919,-34030.7725273164,-1448.89777067549
3101,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.1183737993706,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,220.75694988016,0.296331899943761,0,-35455.7363361248,-34002.6901947828,-1453.046141342
3201,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.1183737993706,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,225.959147070535,0.300576661806554,0,-35388.8395401258,-33946.0176606457,-1442.82187948006
3301,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.1183737993706,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,227.345485775731,0.324487448344007,0,-35377.8911693169,-33939.7166361125,-1438.17453320439
3401,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.1183737993706,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,227.345485775731,0.324487448344007,0,-35334.2245756942,-33895.6093439719,-1438.61523172229
3501,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.1183737993706,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,231.206597294658,0.324487448344007,0,-35290.3064701746,-33859.8966691989,-1430.40980097566
3601,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.1183737993706,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,231.849200627766,0.319733968754299,0,-35272.2101728332,-33840.7240113605,-1431.48616147279
3701,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.1183737993706,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.63026683358476,229.261678340845,0.327386794323102,0,-35241.1149084328,-33808.4545833052,-1432.66032512758
3801,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.12073448498268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,244.852364459075,0.327386794323102,0,-35162.0496411506,-33727.1187186894,-1434.93092246126
3901,2.44886968713254,0,0.0680595662002452,0,0.0460268291179091,0,12,1.12073448498268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,244.852364459075,0.327386794323102,0,-35137.3669427726,-33704.636523523,-1432.73041924964
4001,2.44886968713254,0,0.0687560201412998,0,0.0460268291179091,0,12,1.12073448498268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,244.852364459075,0.327386794323102,0,-35123.6815727585,-33686.5240552252,-1437.15751753328
4101,2.45518516916782,0,0.0687560201412998,0,0.0460268291179091,0,12,1.12073448498268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,239.936675550416,0.327386794323102,0,-35113.4396038209,-33674.7688092249,-1438.67079459602
4201,2.45518516916782,0,0.0687560201412998,0,0.0460268291179091,0,12,1.12073448498268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,241.925844550133,0.327386794323102,0,-35100.0927284716,-33655.8584310499,-1444.23429742165
4301,2.45518516916782,0,0.0687560201412998,0,0.0460268291179091,0,12,1.12073448498268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,241.925844550133,0.327386794323102,0,-35083.4119549699,-33641.8921516317,-1441.51980333821
4401,2.45518516916782,0,0.0687560201412998,0,0.0460268291179091,0,12,1.12073448498268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,242.095362953842,0.327386794323102,0,-35078.5938082906,-33640.2243325384,-1438.36947575219
4501,2.45518516916782,0,0.0687560201412998,0,0.0460268291179091,0,12,1.12073448498268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,240.987890399992,0.327386794323102,0,-35075.6478473628,-33635.824170147,-1439.82367721585
4601,2.45326582342386,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,241.174670308828,0.327386794323102,0,-35067.8886859105,-33626.5798577759,-1441.30882813461
4701,2.45326582342386,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,241.579946549609,0.328706758581102,0,-35037.3493807215,-33595.4832967338,-1441.86608398767
4801,2.45326582342386,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,241.579946549609,0.328706758581102,0,-35022.1534333595,-33585.2741469947,-1436.87928636485
4901,2.45341726318002,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,241.579946549609,0.328706758581102,0,-34991.8436153759,-33551.3193519864,-1440.52426338951
5001,2.45341726318002,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.6102169631049,241.579946549609,0.328706758581102,0,-34989.5668797921,-33541.6692673901,-1447.89761240198
5101,2.45341726318002,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60484104044735,241.579946549609,0.328706758581102,0,-34975.8668499883,-33527.4781062991,-1448.38874368924
5201,2.45341726318002,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60495639685542,241.579946549609,0.328974561498035,0,-34960.4293612125,-33513.5451325399,-1446.8842286726
5301,2.45341726318002,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60495639685542,241.579946549609,0.328974561498035,0,-34963.3535723153,-33512.9607728131,-1450.39279950217
5401,2.45341726318002,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60495639685542,242.289016791619,0.328974561498035,0,-34960.2155925207,-33510.2144266186,-1450.00116590216
5501,2.45341726318002,0,0.0687560201412998,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60495639685542,242.289016791619,0.306781108430587,0,-34941.158364169,-33495.840779242,-1445.31758492702
5601,2.45341726318002,0,0.0687450414779596,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60495639685542,242.289016791619,0.306781108430587,0,-34920.6195361652,-33476.4156315303,-1444.2039046349
5701,2.45341726318002,0,0.0687450414779596,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60495639685542,242.289016791619,0.306781108430587,0,-34896.0444885018,-33454.1333519816,-1441.91113652016
5801,2.45805568154901,0,0.0687450414779596,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60495639685542,241.226636106148,0.326586978882551,0,-34851.8595979256,-33408.4565694096,-1443.403028516
5901,2.45805568154901,0,0.0687450414779596,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.60495639685542,241.226636106148,0.326586978882551,0,-34835.4659655993,-33391.9700728641,-1443.49589273526
6001,2.44968141689897,0,0.0687450414779596,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.641843028367,0.326586978882551,0,-34777.5799188707,-33336.1389964475,-1441.44092242317
6101,2.44968141689897,0,0.0687450414779596,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.641843028367,0.329189383231569,0,-34766.6250686036,-33326.7517503578,-1439.87331824588
6201,2.44968141689897,0,0.0687450414779596,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.641843028367,0.320143779320643,0,-34768.0514119719,-33327.9630134127,-1440.08839855924
6301,2.44968141689897,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.641843028367,0.320143779320643,0,-34761.1349889041,-33321.4964583659,-1439.63853053822
6401,2.44968141689897,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.641843028367,0.320143779320643,0,-34738.0656069363,-33292.7169893407,-1445.34861759562
6501,2.45179654862732,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.641843028367,0.319923863494769,0,-34725.5893012294,-33286.2617599657,-1439.32754126374
6601,2.45179654862732,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.641843028367,0.319923863494769,0,-34706.9428485463,-33269.0420405532,-1437.90080799313
6701,2.45179654862732,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.456198844127,0.319923863494769,0,-34691.421018357,-33250.9826540677,-1440.43836428933
6801,2.45179654862732,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.456198844127,0.319923863494769,0,-34682.8665178943,-33242.309172627,-1440.5573452673
6901,2.45179654862732,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,256.172915105708,0.319923863494769,0,-34670.5687904515,-33228.8674382698,-1441.70135218176
7001,2.44530370105058,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,257.469904446043,0.32564112037886,0,-34667.9375535079,-33220.130294044,-1447.80725946392
7101,2.44870096407831,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.58457153150812,254.7379223397,0.32564112037886,0,-34658.1960594815,-33210.1725215338,-1448.02353794762
7201,2.45353185497224,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.57456986512989,256.468451232649,0.32564112037886,0,-34644.1249331623,-33195.9751800783,-1448.14975308407
7301,2.45353185497224,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.57456986512989,256.468451232649,0.308989619773347,0,-34620.4057798565,-33174.4410113915,-1445.96476846502
7401,2.45353185497224,0,0.0692048597871326,0,0.0460268291179091,0,12,1.09952505107503,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.57456986512989,256.468451232649,0.308989619773347,0,-34616.783497204,-33171.808277498,-1444.97521970606
7501,2.45353185497224,0,0.0692048597871326,0,0.0460268291179091,0,12,1.08153231395409,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.57456986512989,256.468451232649,0.321407971454319,0,-34605.4442566127,-33163.4277566274,-1442.01649998522
7601,2.4513108516112,0,0.0692048597871326,0,0.0460268291179091,0,12,1.08153231395409,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.57456986512989,256.468451232649,0.321407971454319,0,-34591.7023956252,-33147.9822026337,-1443.72019299147
7701,2.4513108516112,0,0.0692048597871326,0,0.0459597455570474,0,12,1.08153231395409,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.57456986512989,256.468451232649,0.321407971454319,0,-34582.9823704768,-33141.5160060062,-1441.46636447058
7801,2.4513108516112,0,0.0687613226496614,0,0.0459597455570474,0,12,1.08153231395409,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.57456986512989,258.824354805984,0.321407971454319,0,-34565.0796840408,-33126.5441167658,-1438.53556727508
7901,2.4513108516112,0,0.0687613226496614,0,0.0459597455570474,0,12,1.08153231395409,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.18025164166465,1.57456986512989,258.824354805984,0.321407971454319,0,-34559.7654505436,-33121.0723562222,-1438.69309432141
