sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.9452127404511,0,0.0956504761334509,0,0.140927344653755,0,9,1.82118929550052,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0965140457265079,0,0,1,0.15585703169927,0,-3425.30892336308,-3175.78628167879,-249.522641684295
101,2.19349200744182,0,0.0362561112130061,0,0.0633656763238833,0,9,1.42481946246698,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.157472461392172,0,0,1,0.0663838146720082,0,-2230.86816841838,-1685.15311675883,-545.715051659559
201,2.13891683920115,0,0.0423293971006651,0,0.0657468489561286,0,9,1.07592280054386,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.110936042558509,0,0,1,0.194599762244198,0,-2219.89811261016,-1507.85043228094,-712.04768032922
301,2.75640207517068,0,0.0939264031279609,0,0.0525858181563669,0,9,1.24627645966647,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.169009066873804,0,0,1,0.175562819169028,0,-2166.74163510755,-1675.48201172206,-491.259623385487
401,2.61470411142852,0,0.0745983467565689,0,0.0516062731810456,0,9,1.27404576355537,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.113373309071947,0,0,1,0.201243712771634,0,-2146.61387786495,-1594.47993270064,-552.133945164309
501,2.72228170397462,0,0.0745983467565689,0,0.052754878989485,0,9,1.1232312658521,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0992467380711449,0,0,1,0.200569474439073,0,-2089.78839181749,-1559.47634386465,-530.312047952837
601,2.73861250317584,0,0.0683325245215402,0,0.0557046061201128,0,9,1.08767438343384,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0974428177026602,0,0,1,0.31487611572387,0,-2077.20245902166,-1523.60448071424,-553.597978307414
701,2.45578023540292,0,0.0484303796361023,0,0.0648570603255206,0,9,0.999451450649284,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0947068227594523,0,0,1,0.165322022576068,0,-2095.8243017621,-1465.93543189792,-629.888869864181
801,2.41120830845855,0,0.0422876508022289,0,0.0670828527439064,0,9,0.994377592423109,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0927855740797852,0,0,1,0.189712569714207,0,-2087.42053813847,-1440.20975140486,-647.210786733615
901,2.40560139953357,0,0.0402455400067651,0,0.0664898832203486,0,9,1.01323201250648,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0981651586813766,0,0,1,0.262789945920944,0,-2073.7065296832,-1428.71892828777,-644.987601395424
1001,2.43354061982901,0,0.0340031575196732,0,0.0685255648106054,0,9,0.962779197259832,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.113393642013659,0,0,1,0.299090930237176,0,-2041.84318335565,-1411.79513748111,-630.048045874543
1101,2.40563849947151,0,0.0297288727768326,0,0.0684344006842043,0,9,0.962779197259832,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.104730181522729,0,0,1,0.341598695576015,0,-2057.71646241347,-1418.19844061522,-639.518021798251
1201,2.35091629219093,0,0.0280511029888249,0,0.0684436504501857,0,9,0.940105511695955,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.101830778640125,0,0,1,0.30958435000683,0,-2047.19483497488,-1413.0231024736,-634.171732501276
1301,2.35354452333613,0,0.0330292657819181,0,0.0671672028858815,0,9,0.910233182488552,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.104874550549997,0,0,1,0.297451849096504,0,-2024.06138638164,-1409.05693725855,-615.004449123095
