sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.95492612104863,0,0.0776241949107498,0,0.145950918877497,0,9,1.78457850241102,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.737480201758444,0,0,0,0.0345052931993268,0,-7660.02812499672,-7410.78638786595,-249.241737130767
101,0.848695845343173,0,0.0488489400409162,0,0.186460636602715,0,9,3.04199424164835,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.568602227512747,0,0,0,0.0451922154123895,0,-2842.60815081231,-2342.30755366162,-500.300597150691
201,0.825881161168218,0,0.0134422197053209,0,0.0774865077575669,0,9,2.38486166112125,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.486429842258804,0,0,0,0.0708389809192158,0,-2825.03572402082,-2091.51863767356,-733.51708634726
301,0.825881161168218,0,0.00535949239972976,0,0.0695584567729384,0,9,1.83835104631726,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.350601414847188,0,0,0,0.107267258160282,0,-2848.62178701682,-1789.80746582473,-1058.81432119209
401,0.750155293755233,0,0.0407357117440552,0,0.0292448858730495,0,9,2.01339949737303,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.340727699012496,0,0,0,0.191902102001477,0,-2740.52855600871,-1890.48501772648,-850.043538282238
501,1.22747571617365,0,0.0791183258127421,0,0.0373259850312025,0,9,1.34551849099807,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.17056883960031,0,0,0,0.193601206860039,0,-2496.07413760217,-1776.78439239726,-719.289745204911
601,1.22747571617365,0,0.0407139749685303,0,0.0387197352014482,0,9,1.31316192098893,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.168428885168396,0,0,0,0.197492733139079,0,-2357.86070875849,-1698.19121121006,-659.669497548433
701,1.23695329912007,0,0.0255245169112459,0,0.0387197352014482,0,9,1.31316192098893,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.161584704788402,0,0,0,0.197310864699539,0,-2333.82118943378,-1650.69527269186,-683.125916741918
801,1.2877329705283,0,0.022368349628523,0,0.0414062551688403,0,9,1.31316192098893,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.112402070942335,0,0,0,0.177161148127634,0,-2334.69802100234,-1618.99176313521,-715.70625786713
901,1.02123911697418,0,0.000793517525307857,0,0.0349636606872082,0,9,1.56296163913794,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.202155371406115,0,0,0,0.123406639678869,0,-2410.88442558835,-1754.87712104986,-656.007304538493
