sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
1,1.88863283209503,0,0.0902937721996568,0,0.154649547673762,0,9,1.31540735508315,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-4986.68790938902,-4611.3101344221,-375.377774966912
101,1.97628922089934,0,0.0663612343999557,0,0.0192486253101379,0,9,2.06175240303855,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2507.33023748059,-2057.28682486865,-450.043412611942
201,2.04830904772288,0,0.153442847039336,0,0.0192486253101379,0,9,1.68406668356958,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2408.57995311228,-1909.95976886883,-498.620184243443
301,2.08362229463791,0,0.136457927587989,0,0.0207188943292713,0,9,1.4448308858704,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2356.05499090949,-1843.54684597631,-512.508144933176
401,2.14391734000411,0,0.123725094641793,0,0.0283940231476008,0,9,1.41008051811069,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2318.64043417658,-1787.01869216219,-531.621742014385
501,2.32261394658829,0,0.1484194480817,0,0.0303098528404138,0,9,1.50644618625463,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2306.59533660848,-1767.44676515676,-539.148571451716
601,2.40752913039665,0,0.105064317435667,0,0.0350940758685943,0,9,1.35096793545587,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2268.9578764683,-1730.07109311613,-538.886783352174
701,2.35910461955841,0,0.0863817978167621,0,0.0331552104559402,0,9,1.36013901465607,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2265.93340086243,-1730.5200678773,-535.413332985129
801,2.36696536426901,0,0.097225072191458,0,0.0329230572133338,0,9,1.3333449949948,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2241.7665118915,-1709.29128649983,-532.47522539167
901,2.35034752450884,0,0.0684846239492666,0,0.0360676622613617,0,9,1.30433061871093,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2218.28875344346,-1681.190766756,-537.097986687462
1001,2.32511273551802,0,0.0360000552640019,0,0.0373300730194566,0,9,1.31620709427763,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2203.24896169686,-1662.27860940424,-540.970352292621
1101,2.49298020811536,0,0.0743624179234248,0,0.0374855981390409,0,9,1.31739750189582,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2197.00429946067,-1653.67582305406,-543.328476406609
1201,2.51344883503512,0,0.0772455318533231,0,0.0392606625336645,0,9,1.20230710072353,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2192.75051870733,-1633.85150607694,-558.899012630391
1301,2.40276674158464,0,0.0750825394650021,0,0.0390398620922398,0,9,1.22537518977586,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2183.68996703764,-1614.37148815738,-569.318478880252
1401,2.42545885701377,0,0.0715693761921601,0,0.0398959426514874,0,9,1.29811290389822,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2194.8773465669,-1618.56926639375,-576.308080173152
1501,2.37956554539859,0,0.0615517476768511,0,0.0408849165795221,0,9,1.21686538260788,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2185.26451851871,-1597.84013821055,-587.424380308168
1601,2.38809060078387,0,0.0589616337065202,0,0.0417158189491356,0,9,1.20629147492186,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2189.48447859568,-1598.72877539137,-590.755703204306
1701,2.4453952318849,0,0.0695514643158078,0,0.0428246588872913,0,9,1.23057688564378,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2195.58543212792,-1594.887844784,-600.697587343918
1801,2.54385455507235,0,0.0661399158418024,0,0.0449547268643758,0,9,1.20678813448757,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2187.63880219922,-1588.16335307698,-599.475449122236
