sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,2.56204714626074,0,0.0550932050449774,0,0.166379033285193,0,9,1.0114645906724,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.852408517152071,2.5714930635877,0.302952103103356,0,1.99364286498167,0,1,1,-20078.6564299563,-19676.6410387456,-402.01539121066
1001,2.28169662941247,0,0.022031644070521,0,0.121319178335834,0,9,1.18933975684922,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.753318307008594,2.5631124860514,0.304144222232475,0,2.83596923768916,0,1,1,-5767.07768966424,-4878.35789670112,-888.719792963121
2001,2.62044266064049,0,0.0692890584655783,0,0.0609234576659942,0,9,1.19781127275045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.179661617475645,1.56373149734122,0.116383550058426,0,1.93608394707253,0,1,1,-5444.23889069622,-4778.40154347567,-665.837347220544
3001,2.56065844684583,0,0.0696459099283461,0,0.0607112192270431,0,9,1.08633036489487,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.151784327177125,1.88817693870647,0.0957900654858249,0,1.44886514486909,0,1,1,-5274.2127053507,-4595.87614436622,-678.336560984474
4001,2.53636208875446,0,0.0592031199025495,0,0.0610939774390435,0,9,1.08134985465649,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.125405088493116,2.28010851442946,0.099006982879554,0,1.47081011733011,0,1,1,-5255.57187784173,-4589.65829536522,-665.913582476513
5001,2.4355049834939,0,0.0516134885251094,0,0.0603565236154889,0,9,1.04345774399268,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.124103854685151,2.43095540341963,0.10107184487705,0,1.48154261274361,0,1,1,-5240.18886853432,-4558.36699718502,-681.821871349298
6001,2.46301735965944,0,0.0530248657095981,0,0.0605255080224083,0,9,1.07790484875569,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.134869956701066,1.92292873599326,0.0931760601520888,0,1.52023321632678,0,1,1,-5257.81206172647,-4564.08261498791,-693.729446738563
7001,2.34874083318817,0,0.0495625708033161,0,0.0578786206563677,0,9,1.04567304442715,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.136868460757701,1.88689296822488,0.109553061843225,0,1.49258122985097,0,1,1,-5231.47549945401,-4551.1153932382,-680.360106215807
8001,2.35231914171675,0,0.0508974201559705,0,0.059424872259206,0,9,1.0443755284261,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.135099309475576,1.69016608291852,0.107474945229895,0,1.43378859642,0,1,1,-5177.05658073879,-4532.49637208806,-644.560208650739
9001,2.34996978760229,0,0.0492237943620485,0,0.0596131023100221,0,9,1.04608529516762,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.125316522040974,2.11752919975309,0.101072302977197,0,1.35736986548671,0,1,1,-5217.87810965785,-4532.20908490906,-685.66902474879
