sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,1.32394812768325,0,0.0259795565693639,0,0.126464660954662,0,9,1.7834789409535,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.367825261550024,2.46232474828139,0.322915826574899,0,1.49852373881731,0,1.25912477797829,1,-10736.4173083847,-10345.4835494856,-390.933758899149
101,1.40464481320232,0,0.0273617109865882,0,0.116851576827467,0,9,2.08489977975842,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.379406451715622,2.43035209987313,0.321550698443025,0,1.43510921499785,0,1.22826547580771,1,-9046.80445259232,-8497.98454516478,-548.819907427541
201,1.55045021613948,0,0.0169830209701734,0,0.0842944488016756,0,9,2.57430762741642,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.374462092004053,3.09900450843755,0.323665454929539,0,1.14574185734614,0,0.835528984111884,1,-7539.63901102545,-6836.7131606409,-702.925850384548
301,1.53595545846752,0,0.0161369434533724,0,0.0643862668847055,0,9,2.28301212381704,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.354077111509713,3.61249362628344,0.0937162720276585,0,1.30448050985779,0,0.248644300498066,1,-6909.73616340316,-6163.82383437752,-745.91232902564
401,1.57106723488913,0,0.0252958877682419,0,0.0595545802434391,0,9,2.18034585564135,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.309556802751605,3.91989076926742,0.110712249157795,0,1.43990337085433,0,0.304685604148225,1,-6647.20245294334,-5871.15620941615,-776.046243527192
501,1.57106723488913,0,0.023272035893497,0,0.0563369166973931,0,9,2.04807094692052,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.269379029155393,3.48908622886423,0.110712249157795,0,1.75266803052733,0,0.517464068098495,1,-6433.41434412009,-5665.51578877171,-767.898555348383
601,1.51643887582095,0,0.0178798191898184,0,0.054569057129727,0,9,1.93979420034045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.176565682345319,3.46866431798333,0.0611672346769675,0,1.73501143361285,0,0.517464068098495,1,-6273.82675987913,-5477.60882937695,-796.217930502181
701,1.71032022988634,0,0.0167289286495343,0,0.0740249919284662,0,9,1.42577962269156,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.199477003268588,2.96188234728615,0.0896489078310149,0,1.2725457721567,0,0.825385456215795,1,-6046.82388203642,-5186.82245231916,-860.001429717256
801,1.73900494389262,0,0.0159057943725732,0,0.0739998328400335,0,9,1.24798660237148,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.199477003268588,2.52536234077852,0.0728023499430703,0,1.25300141878273,0,0.825385456215795,1,-5969.65123490046,-5110.85652591726,-858.794708983204
901,1.73900494389262,0,0.0126627057223747,0,0.0728788218145833,0,9,1.26243313578967,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.178417144646529,2.52536234077852,0.0737426267992272,0,1.293994624952,0,0.825385456215795,1,-5879.25862622971,-5015.83561664768,-863.423009582032
1001,1.73625971125568,0,0.0104991060925847,0,0.0728788218145833,0,9,1.26243313578967,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.178417144646529,2.36081171052408,0.068933531177163,0,1.15046000672969,0,0.82351323229425,1,-5811.17681778187,-4966.3285246021,-844.84829317977
1101,1.51727968768787,0,0.00515189967421938,0,0.0553886410257043,0,9,1.31716496953809,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0995856982132301,3.08938206008252,0.0646918998285741,0,1.41262737849185,0,0.70099551758719,1,-5687.11183232884,-4879.47430241213,-807.637529916708
1201,1.50919361509595,0,0.00419659755600995,0,0.0548323998207112,0,9,1.23739252639441,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.102916412483258,3.03775253625371,0.0646918998285741,0,1.39318166195381,0,0.688090761569525,1,-5622.52839713475,-4816.65639255091,-805.872004583844
1301,1.47241356012525,0,0.000146469418568523,0,0.0564832637892683,0,9,1.18227268341556,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.127227367289957,3.01819671531312,0.0646918998285741,0,1.47311254391632,0,0.644704857634094,1,-5575.27208073821,-4759.1513359078,-816.120744830409
1401,1.46737359547204,0,0.0038342881829763,0,0.0563888720388742,0,9,1.08253591170044,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.126396263580188,2.85404281101222,0.0646918998285741,0,1.37598881463786,0,0.627424437980767,1,-5545.05189905671,-4724.76840275012,-820.283496306592
