sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,1.83838139940053,0,0.0667423741566017,0,0.176455426844768,0,12,1.58181304333266,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.65126063558273,2.047014859505,0.0966208132870424,0,1.63006145763211,0.0659042369178496,1,1,-81044.5255580504,-80387.8137169558,-656.711841094621
1001,2.23475513832644,0,0.0253506404371001,0,0.0963297047885135,0,12,1.30774605437182,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.691436536682304,2.00837470091879,0.0911605447648953,0,1.30586523060268,0.0476715371871833,1,1,-27226.4073317694,-25104.3921509538,-2122.01518081556
2001,2.18463534907822,0,0.0264643807632892,0,0.0906438808737804,0,12,1.23735932571666,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.779774309389117,0.8622396874072,0.0863408309393179,0,1.15560206476917,0.0562295511765779,1,1,-26606.2790764029,-24564.573928794,-2041.70514760891
3001,2.01255680087764,0,0.0288583362699389,0,0.0662944218273732,0,12,1.23212402763186,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.619930154498978,1.54913483555665,0.0118205715277037,0,1.25273082399208,0.0569505510349499,1,1,-26564.9229845434,-24586.4048345197,-1978.5181500237
4001,2.00993395634402,0,0.0297320767861601,0,0.0660445309585527,0,12,1.23901001269733,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.639409736721946,1.66877418970286,0.0108307343679194,0,1.40249453441882,0.0568740552576142,1,1,-26444.4021402473,-24467.6288130882,-1976.77332715908
5001,1.96541536361789,0,0.0284949748025415,0,0.0649267055012138,0,12,1.24091395632212,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.588819152617349,1.73541630542012,0.0114646452372674,0,1.35515264337987,0.0577404121617038,1,1,-26330.6232953452,-24425.5124968368,-1905.11079850843
6001,1.98155535345928,0,0.0292538327108593,0,0.0645994567289582,0,12,1.2319733749165,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.671383100969239,1.68538877866872,0.0114646452372674,0,1.43717817667806,0.0569065055056013,1,1,-26304.1637242094,-24435.3855065967,-1868.77821761269
7001,1.94372586682146,0,0.0285966627607329,0,0.0629153142651313,0,12,1.23423948044221,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.584496380475886,1.64613883584983,0.0110699427061319,0,1.48105089730879,0.0569575791407243,1,1,-26357.5239778089,-24451.5829559766,-1905.94102183226
8001,1.92909340150134,0,0.0279457081162244,0,0.0628540623400873,0,12,1.24254219644832,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.614847598098193,1.64100402418753,0.0110989646301122,0,1.45018363453843,0.058492803135773,1,1,-26303.350559088,-24418.5328795067,-1884.81767958126
9001,1.77733822414296,0,0.0326244041268804,0,0.0502885091267588,0,12,1.22814698656538,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.808187955034305,2.59969599983839,0.0250075508424557,0,1.8377596980348,0.109345989635771,1,1,-26331.9745732027,-24449.2844538358,-1882.69011936689
