sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,1.13561100326478,0,0.0965644947625697,0,0.118984698783606,0,9,1.55130791245028,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.370123821077868,0.299172743223608,0.00182065057288855,0,0.0473240734566935,0.0490189288114198,1,1,-2992.53464212143,-2774.69626166244,-217.838380458988
101,1.44608802832663,0,0.117576539739966,0,0.0424534634919837,0,9,1.40974848531187,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.226870582648553,0.289519941690378,0.0107667741221376,0,0.0405914103169926,0.0151129066175781,1,1,-2460.2725318849,-1923.73761427516,-536.53491760974
201,1.44608802832663,0,0.0913275031046942,0,0.0424534634919837,0,9,1.40974848531187,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.189209293969907,0.367322818026878,0.00230978819495067,0,0.091785210839007,0.0530757671524771,1,1,-2341.16236072362,-1722.31568747193,-618.846673251687
301,1.73995079249144,0,0.0333147783903405,0,0.0472798878327012,0,9,1.47032764391042,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.09724772030022,0.35193232963793,0.0154098465358839,0,0.166595407554414,0.00694271059008316,1,1,-2286.96980439357,-1654.61061175811,-632.359192635466
401,1.69527637492865,0,0.0333147783903405,0,0.0475687574828044,0,9,1.07171533920337,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0748919290257618,0.404901075386442,0.0115141272679903,0,0.136817336271051,0.166164258092176,1,1,-2235.64156665286,-1537.71618913667,-697.925377516185
501,1.69527637492865,0,0.0333147783903405,0,0.0475687574828044,0,9,1.10605995054357,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0527758608805016,0.364391301316209,0.00247101888572797,0,0.0425502866297028,0.226170707021374,1,1,-2224.32624896436,-1533.16609017757,-691.160158786792
601,1.69527637492865,0,0.0188812134647742,0,0.0515091966837645,0,9,1.1078635341255,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0511230306234211,0.358226870885119,0.00115257493406534,0,0.0504133468470537,0.299371385287959,1,1,-2255.42072439814,-1534.95110651703,-720.469617881114
701,1.69527637492865,0,0.0188812134647742,0,0.0515091966837645,0,9,1.1078635341255,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0511230306234211,0.275614390522241,0.00674378777202219,0,0.0981638003350236,0.306633502610494,1,1,-2197.97060475177,-1502.82017513067,-695.150429621099
801,1.72266760021448,0,0.0188812134647742,0,0.0515091966837645,0,9,1.06047748413403,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0655325426254421,0.327844616421498,0.0122747800946236,0,0.0623839507088997,0.406187237093691,1,1,-2168.75562311256,-1502.12026771746,-666.6353553951
901,1.72266760021448,0,0.0188812134647742,0,0.0513858765130863,0,9,1.06047748413403,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0655325426254421,0.465591331734322,0.00781527247931808,0,0.164715533445124,0.439048549060244,1,1,-2164.80611096244,-1487.95518516194,-676.850925800502
