sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,th1_SP,th2_SP,th3_SP,alpha_SP,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.01109719229862,0,0.0942671468458138,0,0.198075023386627,0,12,1.34426208573859,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.380232580704615,0.0855827911291271,0.226132737938315,5.19616984063759,0.915795569657348,0,-149096.046531709,-148210.908789601,-885.137742107652
101,1.40906999940053,0,0.0204697813349776,0,0.0362877963809296,0,12,2.75449639197905,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.387424494042061,0.0840305747720413,0.224774992226157,5.19616984063759,0.235121238469146,0,-50499.5800511851,-49461.442827129,-1038.13722405605
201,1.62308668820187,0,0.0470171641814523,0,0.0260644470807165,0,12,2.37824167427607,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.393891855301335,0.0877007929072716,0.202985784632619,5.19616984063759,0.103962527543772,0,-47058.2931728068,-45969.9628464766,-1088.33032633027
301,2.01887595755979,0,0.127725079169031,0,0.0249475927324965,0,12,1.89227089064661,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.39814746813383,0.0948093040264212,0.188764528452884,5.19616984063759,0.437192892995663,0,-42641.4236525074,-41513.4059579666,-1128.01769454083
401,2.01887595755979,0,0.127725079169031,0,0.0211853660177439,0,12,1.5378009226406,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.413015401777811,0.101189526056405,0.177121193287894,5.19616984063759,0.799654674218036,0,-40193.2167038367,-39079.7845797592,-1113.43212407752
501,1.99277703082189,0,0.127725079169031,0,0.0211853660177439,0,12,1.32447102467995,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.421890775838401,0.118086895914748,0.16264438563725,5.19616984063759,0.793195139877498,0,-38771.2247876631,-37615.1139593562,-1156.11082830693
601,2.00168820684776,0,0.127725079169031,0,0.0198479212122038,0,12,1.32447102467995,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.423297980451025,0.125687602732796,0.150274613176007,5.19616984063759,0.793195139877498,0,-38209.6793906252,-37046.5301911968,-1163.14919942842
701,1.98178634205833,0,0.132678220935632,0,0.0198479212122038,0,12,1.32447102467995,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.425376973135862,0.138370466367342,0.136724884517025,5.19616984063759,0.856101901070215,0,-37584.0160656618,-36420.7970873449,-1163.21897831691
801,1.9954306342639,0,0.132678220935632,0,0.0198479212122038,0,12,1.20731495216023,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.435593187611084,0.145072982627899,0.116320930228103,5.19616984063759,0.856101901070215,0,-37296.1754705385,-36118.03629579,-1178.13917474852
901,1.9954306342639,0,0.128711272615474,0,0.0198479212122038,0,12,1.20731495216023,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.436941095790826,0.157202784491237,0.112329400081653,5.19616984063759,0.856101901070215,0,-37097.9947111514,-35909.5772442852,-1188.41746686622
1001,1.98630815586075,0,0.128711272615474,0,0.0198479212122038,0,12,1.20731495216023,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.441306830334943,0.164725893985014,0.104143388015218,5.19616984063759,0.856101901070215,0,-37003.5080893697,-35811.4964482504,-1192.01164111927
1101,1.98630815586075,0,0.128711272615474,0,0.0198479212122038,0,12,1.23958518682048,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.455833200383932,0.166485734938178,0.0957060497975908,5.19616984063759,0.856101901070215,0,-36923.0127702609,-35727.3185377162,-1195.69423254479
1201,1.97775381347165,0,0.128711272615474,0,0.0198479212122038,0,12,1.22405651153531,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.474519485265482,0.168073102054186,0.0850450436747632,5.19616984063759,0.856101901070215,0,-36802.9541741835,-35612.1924661866,-1190.76170799693
1301,2.24609993873164,0,0.046655714137014,0,0.0759030722780153,0,12,1.04344267817214,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.476427292942535,0.214363481935579,0.125145793249831,8.26644778018818,0.2037112135184,0,-36534.8759157373,-34612.0562671146,-1922.81964862268
1401,2.27133899452165,0,0.046655714137014,0,0.0759030722780153,0,12,1.04344267817214,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.47536621368723,0.227675727040041,0.120473598816898,8.26644778018818,0.2037112135184,0,-36221.3673843078,-34298.7487505065,-1922.61863380129
1501,2.27133899452165,0,0.046655714137014,0,0.0759030722780153,0,12,1.04344267817214,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.47441629935056,0.22988736360101,0.113117354591377,8.26644778018818,0.2037112135184,0,-36057.860738729,-34135.6803628648,-1922.18037586416
