sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,th1_SP,th2_SP,th3_SP,alpha_SP,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.20682281302288,0,0.0557476161629893,0,0.199628562596627,0,12,1.86676348245237,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.459469162626192,0.291868901345879,0.37521632714197,0.27520889416337,0.559690882102586,0,-98206.8049729492,-97299.090944444,-907.714028505227
101,2.21363549875095,0,0.0454458304098807,0,0.0997219380224124,0,12,2.64718185504898,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.468074097845238,0.285967706043739,0.365588507235516,11.2512414576486,0.141116311713122,0,-49886.8164276809,-48890.9881409187,-995.828286762176
201,2.11802462646738,0,0.0690537331509404,0,0.0600196590647101,0,12,1.79227463819552,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.472485323534347,0.281444246494211,0.379775087863673,8.45837921369821,0.141034165520687,0,-46528.3869691184,-45316.7292932888,-1211.65767582964
301,2.11802462646738,0,0.0690537331509404,0,0.0533933563390747,0,12,1.79227463819552,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.485816966234706,0.294598885369487,0.375332775772549,8.45837921369821,0.21902630062541,0,-44137.7533011758,-42884.791117382,-1252.9621837938
401,2.12733872225508,0,0.0778379076044075,0,0.0530427488964051,0,12,1.79227463819552,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.495654753604904,0.313817169470712,0.363654960787389,8.45837921369821,0.21902630062541,0,-43051.4563583538,-41744.2225149201,-1307.23384343377
501,2.12733872225508,0,0.0778379076044075,0,0.0530427488964051,0,12,1.75603930291254,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.507242015085649,0.318707608545665,0.352252478499431,8.45837921369821,0.21902630062541,0,-41508.8523883362,-40135.6783243657,-1373.17406397053
601,2.14443255970255,0,0.0778379076044075,0,0.0530427488964051,0,12,1.49164718843531,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.512468065603171,0.328831928563304,0.346986782760359,8.45837921369821,0.21902630062541,0,-40546.5545786047,-39157.9258946071,-1388.62868399759
701,2.22319927839562,0,0.0778379076044075,0,0.0516921888338402,0,12,1.49164718843531,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.532345239475835,0.342261252803728,0.322580953042488,8.45837921369821,0.297428462950047,0,-39689.4142657531,-38271.1943342739,-1418.21993147927
801,2.21942058252171,0,0.0778379076044075,0,0.0516921888338402,0,12,1.49164718843531,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.541040029020515,0.356588510216679,0.31397808192065,8.45837921369821,0.290624414754566,0,-39247.039845495,-37808.3995510859,-1438.64029440911
901,2.21942058252171,0,0.0778379076044075,0,0.0516921888338402,0,12,1.49164718843531,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.554232882852666,0.362916290040593,0.307884396598674,8.45837921369821,0.28953385425033,0,-38713.7099785183,-37247.1478666332,-1466.56211188504
1001,2.60323856500909,0,0.0633570080739446,0,0.0545339641626924,0,12,1.27063048863783,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.55453851851169,0.348222623053007,0.302532341238111,7.37309877295047,0.280365279417019,0,-37982.6571600853,-36585.6982485728,-1396.95891151248
1101,2.21942058252171,0,0.07703572033206,0,0.0516921888338402,0,12,1.25499843130819,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.565371451196261,0.382624538689852,0.290965843573212,8.45837921369821,0.28953385425033,0,-37513.2788483978,-36001.5127989206,-1511.76604947717
1201,2.21942058252171,0,0.0784469398320653,0,0.0516921888338402,0,12,1.25800873711705,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.569325481769629,0.386131491248961,0.285282038680743,8.45837921369821,0.28953385425033,0,-37212.0211382718,-35695.1844722537,-1516.83666601813
1301,2.59600773686543,0,0.0671004566946067,0,0.0544966646004468,0,12,1.27063048863783,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.586344603286125,0.380584175060503,0.276539893203881,7.37309877295047,0.294416899443604,0,-37083.4474336802,-35652.5917587677,-1430.85567491245
