sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,th1_SP,th2_SP,th3_SP,alpha_SP,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,2.38279941258952,0,0.0553165471204557,0,0.18437670734711,0,12,1.6743842700962,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.297053185524419,0.386605091392994,0.899747253628448,3.92486227210611,1.7404992376687,0,-109840.650571484,-108940.01936296,-900.631208524092
101,2.83085729843006,0,0.00290252745384349,0,0.0709975682199001,0,12,3.39252083760221,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.297787993373349,0.387744315180462,0.888242383273318,11.3104541320354,0.608321704347618,0,-55144.2949984253,-54074.0386046497,-1070.25639377559
201,2.60248063420877,0,0.0558789104246535,0,0.067352633131668,0,12,2.56118642596994,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.31443198538851,0.375976649078075,0.905291257007048,8.71280273422599,0.21890413743211,0,-50499.4315671078,-49262.9930745604,-1236.43849254733
301,2.34688381133601,0,0.0989578176080249,0,0.0463504454586655,0,12,2.45608674152754,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.325756214621942,0.400885952343233,0.869363901235629,9.55719349440187,0.323691295394674,0,-47996.4850848289,-46819.6000698017,-1176.88501502721
401,2.65308756763116,0,0.110672716728877,0,0.0451029288815334,0,12,2.08437163755298,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.338937419336289,0.435332882492803,0.843568678190932,8.34531313739717,0.334821675620042,0,-44606.2661500309,-43344.0309563101,-1262.23519372085
501,2.61765287043527,0,0.111121204730589,0,0.0445189419202506,0,12,1.55749463674147,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.349109973870218,0.435663919849321,0.830499439055566,8.02147993817926,0.334821675620042,0,-42429.3194632008,-41161.3059031719,-1268.01356002893
601,2.66054351730272,0,0.113946512157563,0,0.0435486687114462,0,12,1.56859271775465,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.35957481223857,0.446650843841489,0.81897766567301,8.02147993817926,0.473532467389014,0,-41368.8439615245,-40064.2836751379,-1304.56028638655
701,2.71978666642681,0,0.113946512157563,0,0.0435486687114462,0,12,1.56790679169353,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.36600597050041,0.458799430262297,0.812654359049629,7.13210811372846,0.450577253184747,0,-40495.6901333043,-39184.9287874028,-1310.76134590157
801,2.71978666642681,0,0.113856506117154,0,0.0435486687114462,0,12,1.56790679169353,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.372826165189035,0.469613399188966,0.808347683839966,7.13210811372846,0.450577253184747,0,-39943.2790799216,-38608.1868985837,-1335.09218133787
901,2.65688325120136,0,0.0601362699898891,0,0.0516875348519534,0,12,1.47521001193672,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.365646455686074,0.431593763944693,0.833343820171431,6.65328598115594,0.697321872024331,0,-39334.6905285045,-37864.2224604381,-1470.46806806636
1001,2.65688325120136,0,0.0552908554463648,0,0.0516875348519534,0,12,1.36509223107714,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.370866382515524,0.437015327997506,0.828912690610159,6.65328598115594,0.770197558265645,0,-38852.5629873931,-37379.2468590899,-1473.31612830323
1101,2.71978666642681,0,0.112142178046051,0,0.0422535576857626,0,12,1.30385183170438,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.38886067960877,0.519524360636715,0.774200556739233,7.13210811372846,0.461671776005533,0,-38694.9443231147,-37337.234152112,-1357.7101710027
1201,2.65688325120136,0,0.0552908554463648,0,0.0502349154092372,0,12,1.36509223107714,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.387827032755595,0.459829883815255,0.803256432607304,6.65328598115594,0.815425873093773,0,-38359.2482598224,-36885.8282125594,-1473.42004726294
1301,2.71978666642681,0,0.112142178046051,0,0.0422535576857626,0,12,1.31985604553483,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.405360015162732,0.536287184201647,0.74146007768577,7.13210811372846,0.461671776005533,0,-38177.3539138428,-36817.5486521434,-1359.8052616994
1401,2.71978666642681,0,0.112142178046051,0,0.0422535576857626,0,12,1.31985604553483,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.427404652188998,0.545764092833269,0.737847258616239,6.74717016518116,0.452728238299024,0,-37892.8359679167,-36522.4704325477,-1370.365535369
1501,2.71978666642681,0,0.112142178046051,0,0.0422535576857626,0,12,1.23745243845042,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.429288577265106,0.551851083568763,0.735615433373023,6.74717016518116,0.452728238299024,0,-37749.5178401198,-36369.3736655422,-1380.14417457763
1601,2.71978666642681,0,0.112142178046051,0,0.0422535576857626,0,12,1.23745243845042,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.441977921624202,0.558827733800281,0.725880061718635,6.74717016518116,0.452728238299024,0,-37627.6618254182,-36250.8907819947,-1376.77104342347
1701,2.58163316650316,0,0.0533441595523618,0,0.0502349154092372,0,12,1.28170367586426,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.440080114982557,0.481629883800633,0.756663278103806,6.65328598115594,0.787970518886577,0,-37524.9846293788,-36015.5622483318,-1509.42238104705
1801,2.6269768060185,0,0.0634922124887817,0,0.0658907395321876,0,12,1.26942054333631,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.463334779727738,0.550909669990651,0.730079555378761,6.87361464370042,0.301159339156001,0,-37405.822114593,-35598.3682871008,-1807.45382749221
1901,2.6269768060185,0,0.0634922124887817,0,0.0658907395321876,0,12,1.26942054333631,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.473650541289244,0.56621151443338,0.708151427560951,6.87361464370042,0.301159339156001,0,-37281.2926815397,-35477.9833226144,-1803.30935892531
2001,2.32917272234335,0,0.0566011404641904,0,0.0522424610098824,0,12,1.19192613661289,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.4638632483338,0.517231843373738,0.754785138820298,8.00758472178131,0.788675562608987,0,-37119.0932305536,-35400.4695753764,-1718.62365517713
2101,2.32917272234335,0,0.0566011404641904,0,0.0522424610098824,0,12,1.19192613661289,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.486090345871635,0.524221131091472,0.743207033553627,8.00758472178131,0.788675562608987,0,-36980.2836227593,-35257.3692717992,-1722.91435096004
2201,2.30328863589093,0,0.0566011404641904,0,0.0522424610098824,0,12,1.19192613661289,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.497464753042441,0.54224333983846,0.730458648479544,8.00758472178131,0.788675562608987,0,-36804.8606626434,-35078.1500462932,-1726.71061635021
2301,2.6269768060185,0,0.0638022609031759,0,0.0658907395321876,0,12,1.19746596401092,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.512532841863576,0.610649003493599,0.673538263032678,6.87361464370042,0.298730350935366,0,-36703.5908058601,-34895.7190884407,-1807.87171741937
2401,2.6269768060185,0,0.0638022609031759,0,0.0658907395321876,0,12,1.19746596401092,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.518141301877331,0.617355145944748,0.665223446527962,6.87361464370042,0.298730350935366,0,-36625.8048766949,-34821.8075090668,-1803.99736762806
2501,2.6269768060185,0,0.0638022609031759,0,0.0658907395321876,0,12,1.19384141662158,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.529327711209189,0.621275805295445,0.653777204682119,6.87361464370042,0.281650396052282,0,-36521.8132969615,-34716.5747126046,-1805.23858435696
2601,2.6269768060185,0,0.0638022609031759,0,0.0658156094839797,0,12,1.17627367575187,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.53336737660924,0.628727096242364,0.654395001844969,6.84692282229662,0.281650396052282,0,-36462.7356306922,-34661.0970688494,-1801.63856184285
2701,2.31378305414692,0,0.0566011404641904,0,0.0519541088258848,0,12,1.17016274796333,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.54755126175005,0.566890325124841,0.692599990447052,7.93935949914158,0.788675562608987,0,-36331.1686200868,-34610.610817696,-1720.55780239081
2801,2.6269768060185,0,0.0638022609031759,0,0.0658156094839797,0,12,1.17627367575187,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.55248641448794,0.631507276007905,0.635939542308915,6.84692282229662,0.28700551243499,0,-36286.2365610263,-34488.4475748478,-1797.78898617846
2901,2.62441537575796,0,0.0638022609031759,0,0.0658156094839797,0,12,1.15778254019096,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.566315615780186,0.630765030391048,0.620496721554082,6.84692282229662,0.28700551243499,0,-36192.6536332534,-34391.3470218738,-1801.30661137965
3001,2.30619865944609,0,0.0566011404641904,0,0.0519541088258848,0,12,1.17016274796333,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.568072183204349,0.571509159232956,0.680218724594452,7.93935949914158,0.788675562608987,0,-36091.5083421729,-34381.5310040822,-1709.97733809066
3101,2.62252837745473,0,0.0638022609031759,0,0.0658156094839797,0,12,1.13607503322419,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.587540212154854,0.644213250481989,0.603746135528199,6.84692282229662,0.287209258184302,0,-36053.1590980607,-34252.7845649832,-1800.37453307754
3201,2.62252837745473,0,0.0638022609031759,0,0.0658156094839797,0,12,1.13607503322419,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.597882619306911,0.649426138976123,0.590225510296877,6.84692282229662,0.287209258184302,0,-35975.225534202,-34172.2470270398,-1802.97850716224
3301,2.62252837745473,0,0.0624750323570334,0,0.0658156094839797,0,12,1.13607503322419,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.610833044725005,0.650533413165249,0.577863607353065,6.84692282229662,0.287209258184302,0,-35903.813969973,-34104.0573400906,-1799.75662988248
3401,2.62252837745473,0,0.0624750323570334,0,0.0658156094839797,0,12,1.13607503322419,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.628293387249578,0.661345593766309,0.570568603915162,6.84692282229662,0.287209258184302,0,-35804.9045797263,-34005.5316622257,-1799.37291750059
3501,2.62252837745473,0,0.0624750323570334,0,0.0658156094839797,0,12,1.12854604574386,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.63533693872625,0.664128731179516,0.561456286862958,6.84692282229662,0.287209258184302,0,-35769.1364572204,-33971.3842275058,-1797.75222971458
3601,2.62252837745473,0,0.0624750323570334,0,0.0658156094839797,0,12,1.12854604574386,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.633113799041603,0.670330748897977,0.554117252188734,6.84692282229662,0.287209258184302,0,-35738.8364988431,-33937.6360704781,-1801.20042836504
3701,2.32492158850655,0,0.0566011404641904,0,0.0519541088258848,0,12,1.1549854996847,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.638472254371736,0.595801677640993,0.634920966550708,7.93935949914158,0.75281726506073,0,-35688.6665624069,-33984.721084724,-1703.94547768292
3801,2.32492158850655,0,0.0566011404641904,0,0.0519541088258848,0,12,1.1549854996847,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.639905222996604,0.610692274903413,0.627775778051,7.93935949914158,0.75281726506073,0,-35638.8542881832,-33940.0533868508,-1698.80090133241
3901,2.57043499900028,0,0.0611622485774569,0,0.0658156094839797,0,12,1.12854604574386,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.664802198698744,0.68417628868483,0.530152622626628,6.84692282229662,0.273323306757957,0,-35593.8975298304,-33793.6917819225,-1800.20574790789
4001,2.32492158850655,0,0.0566011404641904,0,0.0519541088258848,0,12,1.1549854996847,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.651937363264151,0.626133224670775,0.606715152391698,7.93935949914158,0.749249368018936,0,-35540.1225138837,-33840.3961983395,-1699.72631554423
4101,2.32492158850655,0,0.0566011404641904,0,0.0519541088258848,0,12,1.1549854996847,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.657502474798821,0.634401261974126,0.598014087534975,7.93935949914158,0.749249368018936,0,-35504.3867054729,-33806.9784587173,-1697.40824675561
