sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.83949491614476,0,0.0384157635062002,0,0.119510763464496,0,9,1.89390075067058,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.574234303552657,0,0,0.0218957161298022,0.0202246526186354,0,-4589.41997272464,-4353.49663444304,-235.923338281599
101,1.60988067043945,0,0.182374139807653,0,0.0853154128650203,0,9,2.29361458064523,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.537276531592943,0,0,0.104282033699565,0.0181552333361469,0,-2531.67907410402,-2101.94109175318,-429.737982350838
201,1.93048444124581,0,0.238410728242445,0,0.0673069435750088,0,9,1.52535443573298,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.604873771374542,0,0,0.114498850863001,0.0113663253297085,0,-2441.01213355616,-1825.5277730331,-615.484360523062
301,2.2081763356015,0,0.238410728242445,0,0.0641345276376712,0,9,1.52213668279481,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.619953136788735,0,0,0.117189351119288,0.00358205589371434,0,-2457.39485413563,-1744.1837278576,-713.211126278031
401,1.55974333405574,0,0.0038846456235528,0,0.0789755123985398,0,9,1.27340011028506,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.209837444494791,0,0,0.0463963688064599,0.227610707796293,0,-2365.6774222655,-1589.36090880641,-776.316513459094
501,1.55966245247099,0,0.00113803140211373,0,0.0750573006062138,0,9,1.13163757096109,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.209837444494791,0,0,0.0497879570899021,0.26017800527012,0,-2259.06993691015,-1463.50919967648,-795.560737233672
601,1.61391544738919,0,6.55603107854335e-05,0,0.0741958173548449,0,9,1.04585262481968,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.170709881872497,0,0,0.0279521631689198,0.267702990696583,0,-2247.29998338715,-1490.03838883235,-757.261594554797
701,1.64608777275862,0,0.00863063042169063,0,0.0757150007367535,0,9,0.97470064525753,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.144340848814623,0,0,0.0279521631689198,0.24634381045278,0,-2207.70990501072,-1449.22227685169,-758.487628159031
801,1.73183258455212,0,0.00496238444248738,0,0.0757508944632885,0,9,0.93632646732863,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.14475634457193,0,0,0.0300106150653988,0.24910923751075,0,-2146.93988919303,-1419.79088199272,-727.149007200312
901,1.71041026970904,0,0.00582997419239757,0,0.0753217447339567,0,9,0.905563118100647,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.129271818714688,0,0,0.0314518531248955,0.219946454245923,0,-2130.03742903979,-1380.78030818547,-749.257120854323
