sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1,1.81365540111437,0,0.070646619098261,0,0.117917533149011,0,9,1.09865158214234,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.134649667423219,0,0,1,0.545644240453839,0,-6363.06676643169,-6145.52685627333,-217.539910158355
1001,2.21019820082933,0,0.0192994018574245,0,0.07585004882887,0,9,0.998326991510112,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.146857558540068,0,0,1,0.456888058671265,0,-2088.57581958712,-1398.69960254422,-689.876217042906
2001,2.31658259656043,0,0.0277597161428165,0,0.077083428159886,0,9,0.920449124863865,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.130801871208521,0,0,1,0.731720476029838,0,-2069.9680482769,-1356.57358348891,-713.394464787991
3001,2.21004224818646,0,0.0141339815329911,0,0.069814488705484,0,9,0.953800420670193,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0885883202665354,0,0,1,0.942524478277368,0,-2028.35186304177,-1374.02500410294,-654.32685893883
4001,2.41693294301549,0,0.0300798231139988,0,0.0742565965737218,0,9,0.940870168796721,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.126627407025773,0,0,1,0.516374469750805,0,-2031.62756205711,-1393.41785968586,-638.209702371249
5001,2.19850099476171,0,0.00939338995509191,0,0.0764875688306982,0,9,0.886292576949884,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0927973393303381,0,0,1,0.718591047565308,0,-2080.6512940293,-1321.1400132884,-759.5112807409
6001,2.1518342033475,0,0.0161648325478723,0,0.074122771661486,0,9,0.937860781319694,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0887780487901529,0,0,1,0.88331975786503,0,-2096.30343159429,-1389.70858733659,-706.594844257702
7001,2.30186602996083,0,0.0192819844019828,0,0.0780538421673021,0,9,0.871651774971934,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.109587586649325,0,0,1,0.682889820933393,0,-1995.11106556184,-1301.16249771133,-693.948567850509
8001,2.13766725662278,0,0.00663377361732963,0,0.0773891941354143,0,9,0.87766400456602,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0897532765076447,0,0,1,0.692436891791341,0,-2003.21927201769,-1317.35177316755,-685.867498850135
9001,2.19311500087936,0,0.00460532244231798,0,0.0781139946519323,0,9,0.877789051111178,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0903572746762375,0,0,1,0.59038462734715,0,-2004.68933177412,-1316.30757359993,-688.381758174189
10001,2.24675024677141,0,0.023002759471917,0,0.0752856948040802,0,9,0.83710522405114,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.120971073476393,0,0,1,0.724162703399872,0,-2045.96292850055,-1329.60282369844,-716.360104802109
11001,1.88933325608812,0,0.0124661134226467,0,0.0760281643015592,0,9,0.896832105366247,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0830529312297185,0,0,1,0.146225099552454,0,-2041.20624441012,-1334.22699077751,-706.979253632615
12001,2.226008873379,0,0.0166515062374042,0,0.0735693330436054,0,9,0.885244497314451,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0861126947276439,0,0,1,0.564982211499879,0,-2011.41445523957,-1328.31710644697,-683.097348792604
13001,2.11191332919186,0,0.0125604423880826,0,0.079067815464103,0,9,0.885850620249195,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0793888673254723,0,0,1,0.163668269373454,0,-1966.55573179162,-1303.06101999538,-663.494711796234
14001,1.9980018781041,0,0.00118881749518129,0,0.0762504238384836,0,9,0.896121422469045,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0757884126037546,0,0,1,0.320533508844473,0,-2008.27615715818,-1337.19183983871,-671.084317319468
15001,2.00135408442755,0,0.00626165803454813,0,0.0784075460477068,0,9,0.841728826366015,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0825860454962866,0,0,1,0.174568299686455,0,-2022.04749785763,-1302.92357526377,-719.123922593862
