sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
1,1.75376770831645,0,0.0594408064591698,0,0.169992402102798,0,12,1.85374666762073,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-13946.5319040483,-13132.0121881176,-814.519715930709
101,1.87148191593587,0,0.193307880891953,0,0.00914325369521976,0,12,2.17237285105512,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-9010.56989356712,-8102.24755713008,-908.322336437036
201,2.22006289288402,0,0.229289514434058,0,0.0109623420750722,0,12,1.74413994012866,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7875.13839583844,-6875.76365239799,-999.37474344045
301,2.81238858290017,0,0.325607603231911,0,0.0161648011533544,0,12,1.41383096284699,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7577.19693920151,-6539.97335121214,-1037.22358798937
401,2.39713549613953,0,0.208971526843961,0,0.0194969921838492,0,12,1.26029303879477,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7306.37069829563,-6142.59522758072,-1163.77547071491
501,2.64764800034463,0,0.276513847524766,0,0.0149285579798743,0,12,1.2146397511242,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7078.20358694661,-6007.17076907719,-1071.03281786941
601,2.53350158464164,0,0.252065463482868,0,0.0149285579798743,0,12,1.06262005807366,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6955.66534130402,-5854.85226545385,-1100.81307585017
701,2.47409517467022,0,0.24892219356494,0,0.0149285579798743,0,12,1.06262005807366,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6868.03397804401,-5775.13639543833,-1092.89758260568
801,2.4692748028785,0,0.252323351080995,0,0.0149285579798743,0,12,1.07144114095718,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6885.02665406746,-5735.92397797777,-1149.1026760897
901,2.3903922714293,0,0.240490083585027,0,0.0149285579798743,0,12,1.07144114095718,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6826.94590828781,-5696.67726087057,-1130.26864741724
1001,2.24971337448806,0,0.190848677533213,0,0.0189891390735284,0,12,1.05601294431835,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6792.83369487995,-5634.48091774673,-1158.35277713322
1101,2.2756388258189,0,0.198510054240469,0,0.0189891390735284,0,12,1.05601294431835,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6805.76145028761,-5624.18422989973,-1181.57722038788
1201,2.2756388258189,0,0.198360290818382,0,0.0189891390735284,0,12,1.05601294431835,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6784.6617949676,-5607.75526403715,-1176.90653093045
1301,2.37905958369374,0,0.226232591064181,0,0.0154818353243172,0,12,1.03598235931713,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6787.52398630525,-5648.24180352993,-1139.28218277532
1401,2.37905958369374,0,0.225695273049641,0,0.0166109338169917,0,12,1.03598235931713,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6744.30971987147,-5617.41922741694,-1126.89049245453
1501,2.32251459658146,0,0.203013270741794,0,0.0186616183724255,0,12,0.983224489027634,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6704.11607381955,-5563.13156727106,-1140.98450654849
1601,2.3127916418016,0,0.203013270741794,0,0.0186616183724255,0,12,0.983224489027634,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6692.39296803962,-5558.10477731825,-1134.28819072137
