sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
1,1.62448100652546,0,0.0984239262714982,0,0.193617806979455,0,12,1.53257205733098,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-16798.7463944312,-16002.9264091929,-795.819985238211
101,2.44304236378521,0,0.160059868237004,0,0.0170666988939047,0,12,2.0668749982724,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-9016.71788638786,-8128.15347694319,-888.564409444681
201,2.58209873661399,0,0.275501814130694,0,0.014332465431653,0,12,1.65962014521938,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-8148.23483595289,-7158.17830667154,-990.056529281348
301,2.6537093328312,0,0.28541783052031,0,0.0172609865898266,0,12,1.46992793946993,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7585.85937344735,-6525.85078203968,-1060.00859140767
401,2.67252057027072,0,0.297379048466682,0,0.0172609865898266,0,12,1.18166600062977,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7378.4582933562,-6287.5241915516,-1090.9341018046
501,2.55312321223319,0,0.291927596922033,0,0.014332465431653,0,12,1.21046314248815,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7124.91373216084,-6070.78083662756,-1054.13289553328
601,2.55312321223319,0,0.285536442901939,0,0.014332465431653,0,12,1.21046314248815,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-7039.64605785388,-5926.38852835117,-1113.25752950271
701,3.01061167959124,0,0.292794932769612,0,0.0224042557412759,0,12,1.07172804127913,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6942.80276246091,-5909.99399281059,-1032.80876965032
801,2.96573738530278,0,0.286599666690454,0,0.0216101493919268,0,12,1.09028574312106,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6819.99858144504,-5774.73730940408,-1045.26127204096
901,2.96573738530278,0,0.286182314967737,0,0.0216350511647761,0,12,1.0560789325973,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6784.29684680504,-5728.70617427822,-1055.59067252682
