sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,2.117883,0,0.01017651,0,0.07627891,0,9,1.76051439053845,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.151651109833147,1.53019231138751,0.0960778208449483,0,1,0.0836178104975261,1.0044701352017,0.687029361724854,-9817.2027208815,-9541.78891942402,-275.413801457476
1001,2.117883,0,0.01017651,0,0.07627891,0,9,1.01337850833079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.151314723803072,1.32446487310342,0.0744158934778534,0,1,0.0719102416932583,1.41754286026116,0.924460535612889,-5264.65604113188,-4497.1303271865,-767.525713945381
2001,2.117883,0,0.01017651,0,0.07627891,0,9,1.06176085601014,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.136218545524995,2.55748978171003,0.0865197578757176,0,1,0.0763358004561084,1.46735057857304,1.32962056585516,-5258.73147690065,-4500.50588535608,-758.22559154457
3001,2.117883,0,0.01017651,0,0.07627891,0,9,1.02814804477718,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.117545519702499,2.44590556334592,0.085481496728347,0,1,0.0751263800950124,1.53590693823753,1.24308241177195,-5225.09320624239,-4468.27368262509,-756.819523617295
4001,2.117883,0,0.01017651,0,0.07627891,0,9,1.01009720511143,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.121197268347793,2.04597807902029,0.0612512947286171,0,1,0.0727920084770726,1.50177219455358,1.57796165752788,-5207.99328232137,-4471.39707525978,-736.596207061593
5001,2.117883,0,0.01017651,0,0.07627891,0,9,1.01261097719053,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.129591553315919,2.21852599672606,0.0705914967502637,0,1,0.0759997257030329,1.29703397581062,1.3163766866875,-5157.27880310198,-4425.27730376767,-732.001499334314
6001,2.117883,0,0.01017651,0,0.07627891,0,9,0.994589308699685,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.146324300197762,0.999543559445945,0.592333278644697,0,1,0.0757098997326824,4.11807102037016,0.23425676813409,-5161.20756873025,-4419.53014867551,-741.677420054749
7001,2.117883,0,0.01017651,0,0.07627891,0,9,0.981811978600355,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.150059613230068,0.69125198481489,0.537215398170719,0,1,0.087931265530515,4.11908577057308,0.233778940757351,-5152.95241973219,-4404.18523302026,-748.767186711932
8001,2.117883,0,0.01017651,0,0.07627891,0,9,1.01147230338143,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.154878449195313,0.428728392574009,0.574923097018776,0,1,0.0889604313173127,7.64506186264946,0.243890671373102,-5169.16455552087,-4408.97848816859,-760.186067352283
9001,2.117883,0,0.01017651,0,0.07627891,0,9,1.02409456680182,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.133740797544225,2.12846743376909,0.0706071935979242,0,1,0.0713141892749703,1.02985690964975,1.15290215989358,-5165.5926535586,-4440.8360393436,-724.756614214998
10001,2.117883,0,0.01017651,0,0.07627891,0,9,1.0209676790468,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.138962092852898,1.88176053935971,0.0840890908579186,0,1,0.0705865111943832,0.893988659453889,0.719255055233294,-5136.99595020572,-4417.02918044318,-719.966769762537
11001,2.117883,0,0.01017651,0,0.07627891,0,9,1.02932975688396,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.13909483491419,2.22587338039438,0.104957137215181,0,1,0.0720556444435455,0.801115688720412,0.670094721663981,-5123.841985462,-4396.79328359998,-727.048701862026
12001,2.117883,0,0.01017651,0,0.07627891,0,9,1.00249050892065,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.13685707458514,3.54185334054658,0.110265442136194,0,1,0.0714173885123574,0.633568723805181,0.828570816708162,-5145.02081275785,-4406.9152285973,-738.105584160554
13001,2.117883,0,0.01017651,0,0.07627891,0,9,1.00401714980447,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.124650453733458,0.214290735319058,0.784059868889036,0,1,0.0769043438749859,9.80912031555778,0.122669206139339,-5133.88670176282,-4370.07554579769,-763.811155965129
14001,2.117883,0,0.01017651,0,0.07627891,0,9,0.986735602280768,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.133796708670378,0.31436226948796,0.962900207834704,0,1,0.0919882037391801,8.44894732449767,0.12840023077743,-5076.06154214984,-4356.73454557051,-719.326996579338
15001,2.117883,0,0.01017651,0,0.07627891,0,9,1.00297153306052,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.140737736405377,0.29286855497073,0.892524268077525,0,1,0.0721054932474263,7.64518975146687,0.140537746143092,-5110.57873172005,-4370.71963714817,-739.859094571882
