sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1,2.01937907624008,0,0.0236483439455128,0,0.0766695844148676,0,9,1.64002914354205,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0927502051267384,2.39208507630974,0.018299794299528,0,0.179642382541911,0.0538146589556709,1.73412865144201,0.989059689105488,-9706.95644578222,-9471.76353894284,-235.192906839384
1001,2.03191320056976,0,0.0226496454335137,0,0.0794426114085987,0,9,1.00715687900083,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0958888077499887,2.07867662936449,0.0490996808605268,0,0.173524518030982,0.0878601468820125,1.06597259282134,1.14981118848082,-5185.96453303541,-4470.22500063849,-715.739532396926
2001,2.05066718862379,0,0.0266799561726452,0,0.0791844698286129,0,9,1.00266558328362,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.110952005705873,2.07333325358023,0.346988015999527,0,0.260545108199658,0.102840687901916,1.42395317926074,3.404560515946,-5101.71426782023,-4341.36533812365,-760.34892969658
3001,2.09553127068801,0,0.0172307534858326,0,0.0796229767061186,0,9,0.984251520838805,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.101245936953547,1.79085375608439,0.734273549360665,0,0.2837396923194,0.170646690659987,4.78295975940036,3.5020401996465,-5036.58802935651,-4295.05632420651,-741.531705149997
4001,2.13790926213114,0,0.0197383449874361,0,0.0799971777622374,0,9,0.970100709201417,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.101160601395766,0.172400887519771,0.105695566902427,0,0.294757026020553,0.434161014342264,8.18006209673094,0.538560669692458,-4979.11233995956,-4269.32015865348,-709.792181306089
5001,2.18560625782185,0,0.0175803818346735,0,0.0808028766950817,0,9,0.938435164893239,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0883837492710703,0.272157405107564,0.150155402528612,0,0.300515951703813,0.542063374936543,6.7983254405457,0.43342761852756,-4921.34646071738,-4228.27632487274,-693.070135844638
6001,2.10751088960059,0,0.0049420717375154,0,0.0796581859358116,0,9,0.949991333889947,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.100070460611704,0.4030439960069,0.152556792175887,0,0.343604773501386,0.896071854347401,8.8111247226383,0.468757473109065,-4886.39859477629,-4222.7303024653,-663.668292310991
7001,2.1295807773761,0,0.0083517057510442,0,0.0802299693076318,0,9,0.927834073335717,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0992465728223605,0.54349925236339,0.162097273120167,0,0.334941912260714,0.456632655978166,8.32042989663514,0.443539362577496,-4878.69814156636,-4211.96362836562,-666.734513200745
8001,2.1249448105567,0,0.0054193219634209,0,0.0807979794274008,0,9,0.924677598579381,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0946603592147214,0.826295931428021,0.150849565905077,0,0.335411497668402,0.94809489983324,5.95311095582055,0.443539362577496,-4890.14297202438,-4223.61827585847,-666.524696165917
9001,2.10127870414635,0,0.00434429686396958,0,0.0797107017789841,0,9,0.920070307241637,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0989413213864664,0.385992534994429,0.113806632156042,0,0.34628491063346,0.42498714260567,3.23760299833758,0.427793759563713,-4880.74883514531,-4207.76512597604,-672.983709169274
10001,2.09463863970031,0,0.00322727164824052,0,0.0810912842039458,0,9,0.91202407578408,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.101351444998998,0.663503723754829,0.110456833305295,0,0.346077344261042,0.51150673225332,2.07176859600203,0.427793759563713,-4880.9793993463,-4211.97827777392,-669.001121572374
11001,2.15718320715032,0,0.0112838243880718,0,0.0807315611801328,0,9,0.960451454875773,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0967963715862662,1.9204585025317,0.0819861811199988,0,0.330724693670472,0.411317902317233,0.889744019436519,0.427702801261493,-4911.88819133445,-4232.74748067418,-679.140710660269
12001,2.10346356416271,0,0.00546204885408646,0,0.080510877651582,0,9,0.937394349799603,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.105014997718128,6.61139947229559,0.737775929877132,0,0.339825581886672,0.89673364052739,7.04140576410772,5.16915203427589,-4926.09018668733,-4234.79247571018,-691.297710977156
13001,2.24956218256973,0,0.021146988240825,0,0.079160302278109,0,9,0.937481672918694,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.103909921612979,3.98229591615687,0.888177685382887,0,0.359347478282753,0.680813448938683,0.137770942979465,0.0431034233082461,-4882.60795002767,-4224.57652620945,-658.031423818212
14001,2.23069300893443,0,0.0113904929539797,0,0.0776810576170439,0,9,0.949697525163716,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0775353905845801,0.740794021628037,0.457770881270488,0,0.379740554040211,0.369492141439395,1.80314533830377,6.4497089411722,-4889.94676363187,-4210.33990363969,-679.606859992183
15001,2.28090756652691,0,0.0169533428388071,0,0.0787925445895073,0,9,0.904575054745678,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0734293821613043,4.29010463132633,0.788489347686383,0,0.333574276059865,0.45362561350018,9.40487900468277,0.108025658722432,-4841.18734047094,-4169.70703166658,-671.480308804353
16001,2.29814344364557,0,0.0145974009360421,0,0.0796304525580262,0,9,0.920140339735697,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0742719055128351,3.38675448297633,0.788489347686383,0,0.353904805902781,0.416375010416659,7.41697209236456,0.108025658722432,-4865.95429028533,-4184.69349130972,-681.260798975614
17001,2.26983325838007,0,0.0135496184077861,0,0.0795975882756673,0,9,0.944777154852608,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0724125451384752,3.12787792459951,0.794800132676676,0,0.334033826352914,0.770012349265443,8.60207875909972,0.108025658722432,-4841.54380415247,-4170.88142239518,-670.662381757288
18001,2.19710754481667,0,0.0161405017043368,0,0.0793597445710734,0,9,0.927718278113394,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.08281732150104,2.82906861604081,0.791391570349964,0,0.293972025649923,0.60264053675607,5.84404018056823,0.108025658722432,-4878.71978582524,-4185.83252478891,-692.887261036328
19001,2.28990989550848,0,0.0159810656661602,0,0.0803328214993868,0,9,0.913507794791605,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0759026190531754,2.25007122195436,0.791391570349964,0,0.327424056457626,0.586356240699815,8.80646846907901,0.108025658722432,-4829.64705324419,-4176.1137757628,-653.533277481399
20001,2.28055390622212,0,0.0164127812891917,0,0.0805716474616396,0,9,0.928732559441194,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0793135665314502,2.24798001349793,0.797512442268861,0,0.33447195663376,0.727359390261399,8.79442438530979,0.108025658722432,-4818.22169283653,-4167.43115272458,-650.790540111952
21001,2.29170836840652,0,0.0174369437125002,0,0.0803686773506621,0,9,0.907977767764895,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0779300857776413,3.15864902735578,0.7948623992337,0,0.323910492859093,0.906400029224159,7.50967165270132,0.108025658722432,-4818.22954663389,-4168.72757913381,-649.501967500081
22001,2.34760166270438,0,0.0271558892106464,0,0.080684162261676,0,9,0.902156490894592,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0791561963886251,2.27874097599758,0.797014274203857,0,0.322712840693644,0.566108889735488,7.37719133448544,0.108025658722432,-4824.31771837617,-4158.36717252763,-665.950545848543
